BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
FabAlley,Western,tops,750,1500,50%,"XS, S, M, L, XL",1.6,49
 Label,Western,tops,650,1299,50%,"XS, S, M, L, XL",1.6,7
 Label,Western,tops,700,1399,50%,"XS, S, M, L, XL",1.6,7
Belle Fille,Western,tops,600,1199,50%,"S, M, L, XL, XXL",1.5,6
Belle Fille,Western,tops,600,1199,50%,"S, M, L, XL, XXL",1.7,6
Aarika,Indian Wear,kurtas,350,1249,72%,"S, M, L, XL, XXL",1.8,5
KALINI,Indian Wear,sarees,624,1299,52%,Onesize,1.6,5
IMARA,Indian Wear,kurta-sets,700,1399,50%,"XS, S, M, L, XL, XXL",1.6,5
Anouk,Indian Wear,sarees,810,2699,70%,Onesize,1.4,5
Sangria,Indian Wear,sarees,1353,3299,59%,Onesize,1.8,5
 Label,Western,tops,650,1299,50%,"XS, S, M, L, XL",1,5
FOREVER 21,Western,tops,700,1399,50%,"XS, S, M, L, XL",1.6,5
SCORPIUS,Western,trousers,1150,2299,50%,"26, 28, 30, 32",1.6,5
STREET 9,Western,jumpsuit,1150,2299,50%,"XS, S, M, L, XL",1.8,5
Madame,Western,jeans,1300,2599,50%,"26, 28, 30, 32, 34, 36",1.8,5
Reebok Classic,Sports Wear,track-pants,2000,3999,50%,"XS, S, M, L, XL",1.3,4
HERE&NOW,Plus Size,jeans,800,1999,60%,"26, 28, 30, 32, 34, 36, 38, 40",2.8,382
Vero Moda,Western,tops,1079,1799,40%,"XS, S, M, L, XL",2,223
MABISH by Sonal Jain,Western,shrug,697,1549,55%,"S, M, L, XL, XXL",2.8,190
KALINI,Indian Wear,kurtas,532,1899,72%,"XS, S, M, L, XL, XXL",2.9,163
Mayra,Western,tops,628,1495,58%,"S, M, L, XL",2.9,125
Mayra,Western,tops,502,1195,58%,"S, M, L, XL",2.8,120
Indo Era,Indian Wear,kurta-sets,760,1899,60%,"XS, S, M, L, XL, XXL",2.8,116
KALINI,Indian Wear,sarees,638,2199,71%,Onesize,2.9,110
Tulsattva,Western,trousers,645,1290,50%,"28, 30, 32, 34, 36",2.6,99
FabAlley,Western,tops,450,1500,70%,"XS, S, M, L, XL",2.8,93
Jaipur Kurti,Plus Size,outdoor-masks,140,399,65%,Onesize,2.4,92
URBANIC,Sports Wear,tights,743,990,25%,"M, L, XL, XXL",2.8,86
Tokyo Talkies,Western,trousers,736,1599,54%,"28, 30, 32, 34",2.6,86
KALINI,Indian Wear,sarees,507,1949,74%,Onesize,2.8,85
Color Cocktail,Western,coats,850,1699,50%,"S, M, L, XL",2.9,82
Sangria,Indian Wear,sarees,1871,3599,48%,Onesize,2.9,80
Sangria,Plus Size,kurta-sets,720,2399,70%,"XS, S, M, L, XL, XXL",2.8,79
Athena,Western,tops,779,1299,40%,"XS, S, M, L, XL, XXL",2.7,76
URBANIC,Western,jeans,1359,2090,35%,"24, 26, 28, 30",2.9,75
KSUT,Indian Wear,kurtas,540,1999,73%,"S, M, L, XL, XXL",2.9,71
KSUT,Indian Wear,kurtas,540,1999,73%,"S, M, L, XL, XXL",2.3,71
FOREVER 21,Western,tshirts,211,422,50%,"XS, S, M, L, XL",2.6,71
HERE&NOW,Plus Size,tops,560,1599,65%,"S, M, L, XL",2.5,68
Qurvii,Plus Size,tops,1200,2400,50%,"S, M, L, XL, XXL, 3XL, 4XL",2.8,68
plusS,Plus Size,jackets,900,2999,70%,"S, M, L, XL, XXL, 3XL, 4XL",2.9,62
Vishudh,Indian Wear,palazzos,365,849,57%,"28, 30, 32, 34, 36",2.9,61
Moda Rapido,Plus Size,kurtas,540,1799,70%,"S, M, L, XL",2.4,61
Chhabra 555,Indian Wear,dresses,1950,3900,50%,"34/56, 36/56, 38/56, 40/56, 42/56, 44/56",2.9,59
ONLY,Western,tops,900,1999,55%,"XS, S, M, L, XL",2.5,57
Ishin,Indian Wear,sarees,950,1899,50%,Onesize,2.9,55
URBANIC,Western,tshirts,445,890,50%,"M, L, XL, XXL",2.9,54
MABISH by Sonal Jain,Western,dresses,751,1670,55%,"S, M, L, XL, XXL",2.9,53
KALINI,Indian Wear,sarees,640,1999,68%,Onesize,2.9,50
Tokyo Talkies,Western,tops,247,649,62%,"S, M, L, XL",2.7,50
URBANIC,Western,dresses,644,990,35%,"S, M, L, XL",2.8,50
Varanga,Indian Wear,kurta-sets,2100,6999,70%,"XS, S, M, L, XL",2.6,46
Sangria,Plus Size,kurta-sets,720,2399,70%,"XS, S, M, L, XL, XXL",2.9,46
Moda Rapido,Plus Size,tops,560,1399,60%,"S, M, L, XL",2.2,44
Sangria,Plus Size,kurtas,400,999,60%,"XS, S, M, L, XL, XXL",2.8,44
Tokyo Talkies,Western,dresses,556,1049,47%,"S, M, L, XL",2.8,41
DODO & MOA,Western,tops,1255,2790,55%,"XS, S, M, L",2.9,41
DODO & MOA,Western,dresses,1435,3190,55%,"S, M, L, XL",2.4,41
Just Wow,Western,dresses,1699,3398,50%,"XS, S, M, L, XL, XXL, 3XL",2.6,39
URBANIC,Western,tops,1493,1990,25%,"XS, S, M, L",2.3,38
Tokyo Talkies,Western,dresses,556,1049,47%,"S, M, L, XL",2.7,37
Kazo,Western,trousers,995,1990,50%,"26, 28, 30, 32, 34",2.8,37
Tokyo Talkies,Western,tshirts,285,749,62%,"S, M, L, XL",2.8,37
Park Avenue Woman,Western,trousers,510,1699,70%,"26, 28, 30, 32, 34, 36, 38, 40",2.9,34
The Vanca,Western,dresses,1250,2499,50%,"S, M, L, XL, XXL",2.5,34
Rigo,Western,coats,2000,3999,50%,"S, M, L",2.1,34
SASSAFRAS,Western,trousers,800,1599,50%,"26, 28, 30, 32, 34, 36",3.6,988
her by invictus,Western,tops,1189,1699,30%,"S, M, L, XL, XXL",4.2,988
StyleStone,Western,jackets,900,1999,55%,"S, M, L, XL",4.2,988
Mayra,Western,tops,418,995,58%,"S, M, L, XL",4.1,988
Harpa,Western,tops,576,1199,52%,"S, M, L, XL",4,987
Roadster,Western,jeans,625,2499,75%,"26, 28, 30, 32, 34, 36",3.7,987
Kook N Keech Marvel,Western,tshirts,315,899,65%,"XS, S, M, L, XL",3.9,987
Yuris,Indian Wear,kurtas,659,1199,45%,"S, M, L, XL, XXL, 3XL",4.2,973
Anouk,Indian Wear,kurtas,675,1499,55%,"XS, S, M, L, XL, XXL, 3XL, 4XL",3.8,973
